iku,tsugou,tabun,yotei,oboete,okireta
83,63,57,43,35,22
99,78,88,55,41,56
54,42,33,62,1,0
69,95,74,63,59,61
100,65,80,56,9,9
83,57,72,52,31,40
75,71,76,76,75,78
99,50,80,0,7,64
56,38,11,31,24,20
100,82,58,51,27,9
85,80,88,90,40,61
100,72,70,21,0,0
77,33,55,60,28,26
100,82,68,100,35,68
100,66,93,80,8,9
69,75,100,78,73,91
77,79,77,88,71,90
63,25,62,21,25,55
100,34,72,60,0,50
85,80,65,21,61,68
70,37,45,40,21,26
100,3,8,1,3,6
100,64,59,44,34,37
31,0,28,25,0,41
100,0,67,0,0,0
0,0,0,66,5,0
77,43,56,34,16,59
83,43,52,15,1,9
87,42,55,35,13,49
97,36,40,20,0,41
71,23,23,1,1,26
98,90,71,75,2,1
0,0,47,0,0,0
19,82,14,86,31,27
60,21,28,17,9,8
78,76,76,77,79,78
29,68,37,34,63,65
76,73,54,72,29,25
100,79,81,75,27,65
99,79,81,65,56,59
100,20,86,75,5,28
72,71,36,63,70,55
80,23,35,69,27,74
100,81,74,21,0,10
100,68,77,58,53,43
99,86,91,72,56,58
86,39,53,27,36,71
66,55,52,41,35,31
78,73,27,89,61,31
91,27,82,60,45,54
71,60,73,80,35,67
79,66,51,45,29,28
99,80,79,61,38,37
91,90,100,35,14,76
100,81,85,82,67,63
59,39,58,37,16,36
100,22,0,23,0,0
99,1,73,1,1,1
35,79,65,71,73,67
81,70,59,52,44,48
100,0,0,0,0,0
52,76,45,51,51,55
62,59,58,56,48,40
33,31,14,0,0,0
68,77,76,79,77,75
74,99,73,77,63,55
78,86,100,100,100,100
63,0,24,0,0,92
99,30,76,18,3,0
80,98,78,8,1,25
59,1,1,18,18,86
34,100,38,100,48,53
40,52,37,24,0,40
39,39,38,38,38,39
100,35,75,34,19,50
74,41,60,31,32,30
82,74,73,39,29,10
99,7,49,5,0,69
100,64,54,58,28,44
100,13,12,14,15,13
